user_id,platform,version,country,channel,user_type
u0001,Android,V3.2,US,Ads,New
u0002,Android,V3.2,JP,Referral,New
u0003,Android,V3.2,CN,Organic,New
u0004,Android,V3.2,US,Ads,New
u0005,Android,V3.2,JP,Referral,New
u0006,Android,V3.2,CN,Organic,New
u0007,Android,V3.2,US,Ads,New
u0008,Android,V3.2,JP,Referral,New
u0009,Android,V3.2,CN,Organic,New
u0010,Android,V3.2,US,Ads,New
u0011,Android,V3.2,JP,Referral,New
u0012,Android,V3.2,CN,Organic,New
u0013,Android,V3.2,US,Ads,New
u0014,Android,V3.2,JP,Referral,New
u0015,Android,V3.2,CN,Organic,New
u0016,Android,V3.2,US,Ads,New
u0017,Android,V3.2,JP,Referral,New
u0018,Android,V3.2,CN,Organic,New
u0019,Android,V3.2,US,Ads,New
u0020,Android,V3.2,JP,Referral,New
u0021,Android,V3.2,CN,Organic,New
u0022,Android,V3.2,US,Ads,New
u0023,Android,V3.2,JP,Referral,New
u0024,Android,V3.2,CN,Organic,New
u0025,Android,V3.2,US,Ads,New
u0026,Android,V3.2,JP,Referral,New
u0027,Android,V3.2,CN,Organic,New
u0028,Android,V3.2,US,Ads,New
u0029,Android,V3.2,JP,Referral,New
u0030,Android,V3.2,CN,Organic,New
u0031,Android,V3.2,US,Ads,New
u0032,Android,V3.2,JP,Referral,New
u0033,Android,V3.2,CN,Organic,New
u0034,Android,V3.2,US,Ads,New
u0035,Android,V3.2,JP,Referral,New
u0036,Android,V3.2,CN,Organic,New
u0037,Android,V3.2,US,Ads,New
u0038,Android,V3.2,JP,Referral,New
u0039,Android,V3.2,CN,Organic,New
u0040,Android,V3.2,US,Ads,New
u0041,Android,V3.1,JP,Referral,New
u0042,Android,V3.1,CN,Organic,New
u0043,Android,V3.1,US,Ads,New
u0044,Android,V3.1,JP,Referral,New
u0045,Android,V3.1,CN,Organic,New
u0046,Android,V3.1,US,Ads,New
u0047,Android,V3.1,JP,Referral,New
u0048,Android,V3.1,CN,Organic,New
u0049,Android,V3.1,US,Ads,New
u0050,Android,V3.1,JP,Referral,New
u0051,Android,V3.1,CN,Organic,New
u0052,Android,V3.1,US,Ads,New
u0053,Android,V3.1,JP,Referral,New
u0054,Android,V3.1,CN,Organic,New
u0055,Android,V3.1,US,Ads,New
u0056,Android,V3.1,JP,Referral,New
u0057,Android,V3.1,CN,Organic,New
u0058,Android,V3.1,US,Ads,New
u0059,Android,V3.1,JP,Referral,New
u0060,Android,V3.1,CN,Organic,New
u0061,iOS,V3.1,US,Ads,New
u0062,iOS,V3.1,JP,Referral,New
u0063,iOS,V3.1,CN,Organic,New
u0064,iOS,V3.1,US,Ads,New
u0065,iOS,V3.1,JP,Referral,New
u0066,iOS,V3.1,CN,Organic,New
u0067,iOS,V3.1,US,Ads,New
u0068,iOS,V3.1,JP,Referral,New
u0069,iOS,V3.1,CN,Organic,New
u0070,iOS,V3.1,US,Ads,New
u0071,iOS,V3.1,JP,Referral,New
u0072,iOS,V3.1,CN,Organic,New
u0073,iOS,V3.1,US,Ads,New
u0074,iOS,V3.1,JP,Referral,New
u0075,iOS,V3.1,CN,Organic,New
u0076,iOS,V3.1,US,Ads,New
u0077,iOS,V3.1,JP,Referral,New
u0078,iOS,V3.1,CN,Organic,New
u0079,iOS,V3.1,US,Ads,New
u0080,iOS,V3.1,JP,Referral,New
u0081,iOS,V3.1,CN,Organic,Returning
u0082,iOS,V3.1,US,Ads,Returning
u0083,iOS,V3.1,JP,Referral,Returning
u0084,iOS,V3.1,CN,Organic,Returning
u0085,iOS,V3.1,US,Ads,Returning
u0086,iOS,V3.1,JP,Referral,Returning
u0087,iOS,V3.1,CN,Organic,Returning
u0088,iOS,V3.1,US,Ads,Returning
u0089,iOS,V3.1,JP,Referral,Returning
u0090,iOS,V3.1,CN,Organic,Returning
u0091,iOS,V3.1,US,Ads,Returning
u0092,iOS,V3.1,JP,Referral,Returning
u0093,iOS,V3.1,CN,Organic,Returning
u0094,iOS,V3.1,US,Ads,Returning
u0095,iOS,V3.1,JP,Referral,Returning
u0096,iOS,V3.1,CN,Organic,Returning
u0097,iOS,V3.1,US,Ads,Returning
u0098,iOS,V3.1,JP,Referral,Returning
u0099,iOS,V3.1,CN,Organic,Returning
u0100,iOS,V3.1,US,Ads,Returning
