cohort_date,cohort_users,interval_day,retained_users,retention_rate
2026-07-01,1420,0,1420,100
2026-07-01,1420,1,1037,73
2026-07-01,1420,3,923,65
2026-07-01,1420,7,738,52
2026-07-01,1420,14,596,42
2026-07-01,1420,30,355,25
2026-07-08,1680,0,1680,100
2026-07-08,1680,1,1210,72
2026-07-08,1680,3,1075,64
2026-07-08,1680,7,823,49
2026-07-08,1680,14,655,39
2026-07-08,1680,30,386,23
2026-07-15,1900,0,1900,100
2026-07-15,1900,1,1425,75
2026-07-15,1900,3,1273,67
2026-07-15,1900,7,969,51
2026-07-15,1900,14,779,41
2026-07-15,1900,30,437,23
2026-07-22,1750,0,1750,100
2026-07-22,1750,1,1225,70
2026-07-22,1750,3,1085,62
2026-07-22,1750,7,822,47
2026-07-22,1750,14,648,37
2026-07-22,1750,30,385,22
2026-07-29,2100,0,2100,100
2026-07-29,2100,1,1428,68
2026-07-29,2100,3,1260,60
2026-07-29,2100,7,945,45
2026-07-29,2100,14,735,35
2026-07-29,2100,30,441,21
2026-08-05,1980,0,1980,100
2026-08-05,1980,1,1327,67
2026-08-05,1980,3,1168,59
2026-08-05,1980,7,871,44
2026-08-05,1980,14,673,34
2026-08-05,1980,30,396,20
2026-08-12,2250,0,2250,100
2026-08-12,2250,1,1552,69
2026-08-12,2250,3,1372,61
2026-08-12,2250,7,1035,46
2026-08-12,2250,14,810,36
2026-08-12,2250,30,472,21
2026-08-19,2400,0,2400,100
2026-08-19,2400,1,1560,65
2026-08-19,2400,3,1368,57
2026-08-19,2400,7,1032,43
2026-08-19,2400,14,792,33
2026-08-19,2400,30,456,19
2026-08-26,2180,0,2180,100
2026-08-26,2180,1,1395,64
2026-08-26,2180,3,1221,56
2026-08-26,2180,7,916,42
2026-08-26,2180,14,698,32
2026-08-26,2180,30,392,18
2026-09-02,2320,0,2320,100
2026-09-02,2320,1,1462,63
2026-09-02,2320,3,1276,55
2026-09-02,2320,7,928,40
2026-09-02,2320,14,696,30
2026-09-02,2320,30,441,19
2026-09-09,2450,0,2450,100
2026-09-09,2450,1,1494,61
2026-09-09,2450,3,1298,53
2026-09-09,2450,7,956,39
2026-09-09,2450,14,710,29
2026-09-09,2450,30,441,18
2026-09-16,2380,0,2380,100
2026-09-16,2380,1,1476,62
2026-09-16,2380,3,1285,54
2026-09-16,2380,7,976,41
2026-09-16,2380,14,738,31
2026-09-16,2380,30,476,20
